Year,REG,PROV,COM,landsize,Age,Seed,Microcredit,Roof,Wall,Extension,Education,Status,Membership,L_ownership,Gender,Restored_land,Land_age,Organic_fertilizer,yields,Literacy,Primary_school,Secondary_school,Land_ownership,Pest_cl,Agri_training,Agro1,Agro2,Agro3,NPK,Membership_crop,Membership_other,hhid
2015.0,BOUCLE DU MOUHOUN,KOSSI,5.0,1.7507,72.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,36.0,0.0,560.0,0.0,0.0,0.0,1.0,1.7136003,0.0,0.0,1.0,0.0,0.0,0.0,0.0,731.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,5.0,0.2819,46.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,34.0,0.0,432.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,843.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,5.0,0.3965,37.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,21.0,0.0,408.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,848.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,5.0,1.1291,65.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,15.0,0.0,320.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1002.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,5.0,3.4519,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,10.0,0.0,400.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1006.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,5.0,1.213,46.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1024.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,5.0,0.6331,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,160.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1026.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,5.0,2.5766,69.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,55.0,0.0,1200.0,0.0,0.0,0.0,1.0,7.7621675,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1404.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,5.0,1.7228,37.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,800.0,0.0,0.0,0.0,1.0,17.558626,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1419.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,6.0,0.2174,39.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,7.0,0.0,440.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1408.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,6.0,0.3121,49.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,16.0,0.0,440.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1409.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,6.0,0.3412,33.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,460.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1410.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,6.0,0.3917,34.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,18.0,0.0,720.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,50.0,1.0,0.0,1680.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,6.0,2.6867,52.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,21.0,0.0,400.0,0.0,0.0,0.0,0.0,1.4888153,1.0,0.0,1.0,0.0,50.0,1.0,0.0,1834.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,8.0,0.4718,67.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,10.0,0.0,80.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,631.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,9.0,1.7389,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,8.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,689.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,9.0,7.3286,44.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,5.0,0.0,480.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,690.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,9.0,0.3697,36.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,0.0,1200.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,926.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,9.0,0.2993,33.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,0.0,400.0,0.0,1.0,0.0,0.0,1.6705645,0.0,0.0,1.0,0.0,0.0,1.0,0.0,965.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,9.0,1.1741,43.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,360.0,0.0,1.0,0.0,0.0,3.406865,0.0,0.0,1.0,0.0,0.0,1.0,0.0,967.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,9.0,3.1509,82.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,400.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,976.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,9.0,0.7074,55.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,1200.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1848.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,9.0,0.2219,42.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,16.0,0.0,510.38297,0.0,0.0,0.0,1.0,4.5065346,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1854.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,9.0,0.556,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,18.0,0.0,320.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1857.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,9.0,0.7778,62.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,1200.0,1.0,0.0,0.0,1.0,23.142195,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1970.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,9.0,0.2863,55.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,56.0,0.0,560.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1972.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,9.0,4.5398,55.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,21.0,0.0,600.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1975.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,9.0,0.2472,55.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,56.0,0.0,680.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1984.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,9.0,0.6221,55.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,34.0,0.0,396.0,0.0,0.0,0.0,1.0,2.411188,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1985.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,9.0,5.5175,58.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,56.0,0.0,812.0,0.0,0.0,0.0,1.0,1.4499321,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1989.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,9.0,0.9885,79.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,240.0,0.0,0.0,0.0,1.0,5.058169,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1999.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,9.0,0.1128,36.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,320.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2000.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,9.0,2.6172,26.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,16.0,0.0,400.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2002.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,9.0,1.9656,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,680.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2004.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,10.0,0.1322,66.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,9.0,0.0,400.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,599.0
2015.0,BOUCLE DU MOUHOUN,KOSSI,10.0,0.3911,46.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,7.0,0.0,680.0,0.0,0.0,0.0,1.0,2.556891,0.0,0.0,1.0,0.0,0.0,0.0,0.0,601.0
2015.0,BOUCLE DU MOUHOUN,MOUHOUN,1.0,0.8795,31.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,6.0,0.0,240.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,441.0
2015.0,BOUCLE DU MOUHOUN,MOUHOUN,1.0,0.1245,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,459.0
2015.0,BOUCLE DU MOUHOUN,MOUHOUN,1.0,0.3728,63.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,6.0,0.0,120.0,0.0,0.0,0.0,0.0,7.591202,0.0,0.0,1.0,0.0,0.0,1.0,0.0,905.0
2015.0,BOUCLE DU MOUHOUN,MOUHOUN,1.0,0.2283,68.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,15.0,1095.0504,120.0,0.0,0.0,0.0,0.0,7.665353,0.0,0.0,1.0,0.0,0.0,0.0,0.0,907.0
2015.0,BOUCLE DU MOUHOUN,MOUHOUN,1.0,0.3615,51.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,25.0,0.0,40.0,0.0,0.0,0.0,0.0,3.8727524,0.0,0.0,1.0,0.0,0.0,0.0,0.0,911.0
2015.0,BOUCLE DU MOUHOUN,MOUHOUN,1.0,1.0195,36.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,520.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1053.0
2015.0,BOUCLE DU MOUHOUN,MOUHOUN,1.0,0.2864,61.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,480.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1106.0
2015.0,BOUCLE DU MOUHOUN,MOUHOUN,1.0,1.0712,34.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,240.0,0.0,1.0,0.0,1.0,9.335324,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1657.0
2015.0,BOUCLE DU MOUHOUN,MOUHOUN,1.0,0.1881,49.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1662.0
2015.0,BOUCLE DU MOUHOUN,MOUHOUN,2.0,0.1178,31.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3955855,0.0,0.0,1.0,0.0,0.0,1.0,0.0,536.0
2015.0,BOUCLE DU MOUHOUN,MOUHOUN,2.0,0.3143,29.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,800.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1227.0
2015.0,BOUCLE DU MOUHOUN,MOUHOUN,2.0,0.315,31.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,600.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1229.0
2015.0,BOUCLE DU MOUHOUN,MOUHOUN,2.0,0.2879,33.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,10.0,0.0,920.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,1577.0
2015.0,BOUCLE DU MOUHOUN,MOUHOUN,2.0,1.4715,47.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0,0.0,640.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1588.0
2015.0,BOUCLE DU MOUHOUN,MOUHOUN,2.0,0.5523,32.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,480.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,30.0,1.0,0.0,1597.0
2015.0,BOUCLE DU MOUHOUN,MOUHOUN,2.0,9.6063,37.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0409836,0.0,0.0,1.0,0.0,450.0,1.0,0.0,1759.0
